episode_id,team,rank,rating,submission_id,log_acquired_at,deck_60,deck_hash,is_alakazam,deck_type,opponent,go_first,outcome,normal_end,timeout,error,total_steps,decision_count,legal_candidate_count,duplicate,usable,exclusion_reason,source_zip,source_member,source_sha256,target_seat,replay_available,deck_evidence
85172625,WinDecks,12,,54378321,1784014015.5222647,,,False,unknown,,,,,,,,,,False,False,replay_missing_observation_action,data\runs\kaggle_top50\rank12_WinDecks_sub54378321.zip,,fcda8071a6ffd176b7a22c164fde2153725b0acda1ecdb9abe64c682693ed461,,False,none
85173041,WinDecks,12,,54378321,1784014015.5222647,,,False,unknown,,,,,,,,,,False,False,replay_missing_observation_action,data\runs\kaggle_top50\rank12_WinDecks_sub54378321.zip,,fcda8071a6ffd176b7a22c164fde2153725b0acda1ecdb9abe64c682693ed461,,False,none
85173533,WinDecks,12,,54378321,1784014015.5222647,,,False,unknown,,,,,,,,,,False,False,replay_missing_observation_action,data\runs\kaggle_top50\rank12_WinDecks_sub54378321.zip,,fcda8071a6ffd176b7a22c164fde2153725b0acda1ecdb9abe64c682693ed461,,False,none
85174009,WinDecks,12,,54378321,1784014015.5222647,,,False,unknown,,,,,,,,,,False,False,replay_missing_observation_action,data\runs\kaggle_top50\rank12_WinDecks_sub54378321.zip,,fcda8071a6ffd176b7a22c164fde2153725b0acda1ecdb9abe64c682693ed461,,False,none
85174474,WinDecks,12,,54378321,1784014015.5222647,,,False,unknown,,,,,,,,,,False,False,replay_missing_observation_action,data\runs\kaggle_top50\rank12_WinDecks_sub54378321.zip,,fcda8071a6ffd176b7a22c164fde2153725b0acda1ecdb9abe64c682693ed461,,False,none
85174976,WinDecks,12,,54378321,1784014015.5222647,,,False,unknown,,,,,,,,,,False,False,replay_missing_observation_action,data\runs\kaggle_top50\rank12_WinDecks_sub54378321.zip,,fcda8071a6ffd176b7a22c164fde2153725b0acda1ecdb9abe64c682693ed461,,False,none
85175438,WinDecks,12,,54378321,1784014015.5222647,,,False,unknown,,,,,,,,,,False,False,replay_missing_observation_action,data\runs\kaggle_top50\rank12_WinDecks_sub54378321.zip,,fcda8071a6ffd176b7a22c164fde2153725b0acda1ecdb9abe64c682693ed461,,False,none
85175909,WinDecks,12,,54378321,1784014015.5222647,,,False,unknown,,,,,,,,,,False,False,replay_missing_observation_action,data\runs\kaggle_top50\rank12_WinDecks_sub54378321.zip,,fcda8071a6ffd176b7a22c164fde2153725b0acda1ecdb9abe64c682693ed461,,False,none
85176409,WinDecks,12,,54378321,1784014015.5222647,,,False,unknown,,,,,,,,,,False,False,replay_missing_observation_action,data\runs\kaggle_top50\rank12_WinDecks_sub54378321.zip,,fcda8071a6ffd176b7a22c164fde2153725b0acda1ecdb9abe64c682693ed461,,False,none
85176892,WinDecks,12,,54378321,1784014015.5222647,,,False,unknown,,,,,,,,,,False,False,replay_missing_observation_action,data\runs\kaggle_top50\rank12_WinDecks_sub54378321.zip,,fcda8071a6ffd176b7a22c164fde2153725b0acda1ecdb9abe64c682693ed461,,False,none
