episode_id,seat_index,leaderboard_rank,team_name,submission_id,source_cohort,storage_type,storage_path,replay_path,teacher_priority,created_at
85948212,0,2,Majkel1337,54662660,majkel_full,zip,C:\Users\shiba\ptcc_pokemon_ai_buttle\data\runs\leaderboard_top50\alakazam\20260717_kaggle_top20\rank02_Majkel1337_sub54662660_full.zip,rank02_Majkel1337_sub54662660/episodes/85948212/replay/episode_85948212.json,0.7071067811865475,
85948674,1,2,Majkel1337,54662660,majkel_full,zip,C:\Users\shiba\ptcc_pokemon_ai_buttle\data\runs\leaderboard_top50\alakazam\20260717_kaggle_top20\rank02_Majkel1337_sub54662660_full.zip,rank02_Majkel1337_sub54662660/episodes/85948674/replay/episode_85948674.json,0.7071067811865475,
85949148,0,2,Majkel1337,54662660,majkel_full,zip,C:\Users\shiba\ptcc_pokemon_ai_buttle\data\runs\leaderboard_top50\alakazam\20260717_kaggle_top20\rank02_Majkel1337_sub54662660_full.zip,rank02_Majkel1337_sub54662660/episodes/85949148/replay/episode_85949148.json,0.7071067811865475,
85949551,0,2,Majkel1337,54662660,majkel_full,zip,C:\Users\shiba\ptcc_pokemon_ai_buttle\data\runs\leaderboard_top50\alakazam\20260717_kaggle_top20\rank02_Majkel1337_sub54662660_full.zip,rank02_Majkel1337_sub54662660/episodes/85949551/replay/episode_85949551.json,0.7071067811865475,
85950073,1,2,Majkel1337,54662660,majkel_full,zip,C:\Users\shiba\ptcc_pokemon_ai_buttle\data\runs\leaderboard_top50\alakazam\20260717_kaggle_top20\rank02_Majkel1337_sub54662660_full.zip,rank02_Majkel1337_sub54662660/episodes/85950073/replay/episode_85950073.json,0.7071067811865475,
85950529,1,2,Majkel1337,54662660,majkel_full,zip,C:\Users\shiba\ptcc_pokemon_ai_buttle\data\runs\leaderboard_top50\alakazam\20260717_kaggle_top20\rank02_Majkel1337_sub54662660_full.zip,rank02_Majkel1337_sub54662660/episodes/85950529/replay/episode_85950529.json,0.7071067811865475,
85951101,0,2,Majkel1337,54662660,majkel_full,zip,C:\Users\shiba\ptcc_pokemon_ai_buttle\data\runs\leaderboard_top50\alakazam\20260717_kaggle_top20\rank02_Majkel1337_sub54662660_full.zip,rank02_Majkel1337_sub54662660/episodes/85951101/replay/episode_85951101.json,0.7071067811865475,
85951482,0,2,Majkel1337,54662660,majkel_full,zip,C:\Users\shiba\ptcc_pokemon_ai_buttle\data\runs\leaderboard_top50\alakazam\20260717_kaggle_top20\rank02_Majkel1337_sub54662660_full.zip,rank02_Majkel1337_sub54662660/episodes/85951482/replay/episode_85951482.json,0.7071067811865475,
85951945,1,2,Majkel1337,54662660,majkel_full,zip,C:\Users\shiba\ptcc_pokemon_ai_buttle\data\runs\leaderboard_top50\alakazam\20260717_kaggle_top20\rank02_Majkel1337_sub54662660_full.zip,rank02_Majkel1337_sub54662660/episodes/85951945/replay/episode_85951945.json,0.7071067811865475,
85952415,0,2,Majkel1337,54662660,majkel_full,zip,C:\Users\shiba\ptcc_pokemon_ai_buttle\data\runs\leaderboard_top50\alakazam\20260717_kaggle_top20\rank02_Majkel1337_sub54662660_full.zip,rank02_Majkel1337_sub54662660/episodes/85952415/replay/episode_85952415.json,0.7071067811865475,
85952890,0,2,Majkel1337,54662660,majkel_full,zip,C:\Users\shiba\ptcc_pokemon_ai_buttle\data\runs\leaderboard_top50\alakazam\20260717_kaggle_top20\rank02_Majkel1337_sub54662660_full.zip,rank02_Majkel1337_sub54662660/episodes/85952890/replay/episode_85952890.json,0.7071067811865475,
85953358,1,2,Majkel1337,54662660,majkel_full,zip,C:\Users\shiba\ptcc_pokemon_ai_buttle\data\runs\leaderboard_top50\alakazam\20260717_kaggle_top20\rank02_Majkel1337_sub54662660_full.zip,rank02_Majkel1337_sub54662660/episodes/85953358/replay/episode_85953358.json,0.7071067811865475,
