88879691 alakazam_second  punk=1 walked={'alakazam_second': 1}
88879749 alakazam_second  punk=1 walked={'alakazam_second': 2}
88881575 other_second     punk=0 walked={'alakazam_second': 2, 'other_second': 1}
88882058 other_second     punk=2 walked={'alakazam_second': 2, 'other_second': 2}
88883028 other_second     punk=1 walked={'alakazam_second': 2, 'other_second': 3}
88883380 other_second     punk=2 walked={'alakazam_second': 2, 'other_second': 4}
88883496 alakazam_first   punk=2 walked={'alakazam_second': 2, 'other_second': 4, 'alakazam_first': 1}
88883939 other_second     punk=2 walked={'alakazam_second': 2, 'other_second': 5, 'alakazam_first': 1}
88884338 alakazam_first   punk=2 walked={'alakazam_second': 2, 'other_second': 5, 'alakazam_first': 2}
88884783 other_second     punk=2 walked={'alakazam_second': 2, 'other_second': 6, 'alakazam_first': 2}
88885218 other_second     punk=1 walked={'alakazam_second': 2, 'other_second': 7, 'alakazam_first': 2}
88886132 other_second     punk=1 walked={'alakazam_second': 2, 'other_second': 8, 'alakazam_first': 2}
88886536 other_second     punk=1 walked={'alakazam_second': 2, 'other_second': 9, 'alakazam_first': 2}
88886557 other_second     punk=1 walked={'alakazam_second': 2, 'other_second': 10, 'alakazam_first': 2}
88887034 alakazam_second  punk=2 walked={'alakazam_second': 3, 'other_second': 10, 'alakazam_first': 2}
88887133 other_second     punk=0 walked={'alakazam_second': 3, 'other_second': 11, 'alakazam_first': 2}
88887506 other_second     punk=2 walked={'alakazam_second': 3, 'other_second': 12, 'alakazam_first': 2}
88888472 other_second     punk=2 walked={'alakazam_second': 3, 'other_second': 13, 'alakazam_first': 2}
88888473 other_second     punk=2 walked={'alakazam_second': 3, 'other_second': 14, 'alakazam_first': 2}
88888978 other_second     punk=2 walked={'alakazam_second': 3, 'other_second': 15, 'alakazam_first': 2}
88889788 alakazam_second  punk=1 walked={'alakazam_second': 4, 'other_second': 15, 'alakazam_first': 2}
88889892 other_second     punk=2 walked={'alakazam_second': 4, 'other_second': 16, 'alakazam_first': 2}
88890792 other_second     punk=1 walked={'alakazam_second': 4, 'other_second': 17, 'alakazam_first': 2}
88891336 alakazam_second  punk=1 walked={'alakazam_second': 5, 'other_second': 17, 'alakazam_first': 2}
88892167 other_second     punk=2 walked={'alakazam_second': 5, 'other_second': 18, 'alakazam_first': 2}
88893091 other_second     punk=2 walked={'alakazam_second': 5, 'other_second': 19, 'alakazam_first': 2}
88916364 other_second     punk=1 walked={'alakazam_second': 5, 'other_second': 20, 'alakazam_first': 2}
88927197 other_second     punk=1 walked={'alakazam_second': 5, 'other_second': 21, 'alakazam_first': 2}
88934094 other_second     punk=1 walked={'alakazam_second': 5, 'other_second': 22, 'alakazam_first': 2}
88947145 other_second     punk=0 walked={'alakazam_second': 5, 'other_second': 23, 'alakazam_first': 2}
88961885 alakazam_first   punk=1 walked={'alakazam_second': 5, 'other_second': 23, 'alakazam_first': 3}
88980939 other_second     punk=1 walked={'alakazam_second': 5, 'other_second': 24, 'alakazam_first': 3}
88992115 other_second     punk=2 walked={'alakazam_second': 5, 'other_second': 25, 'alakazam_first': 3}
89005889 other_second     punk=2 walked={'alakazam_second': 5, 'other_second': 26, 'alakazam_first': 3}
89007216 other_second     punk=1 walked={'alakazam_second': 5, 'other_second': 27, 'alakazam_first': 3}
89013389 alakazam_first   punk=1 walked={'alakazam_second': 5, 'other_second': 27, 'alakazam_first': 4}
89018377 other_second     punk=2 walked={'alakazam_second': 5, 'other_second': 28, 'alakazam_first': 4}
89023098 other_second     punk=2 walked={'alakazam_second': 5, 'other_second': 29, 'alakazam_first': 4}
89025265 other_second     punk=2 walked={'alakazam_second': 5, 'other_second': 30, 'alakazam_first': 4}
89026076 alakazam_second  punk=1 walked={'alakazam_second': 6, 'other_second': 30, 'alakazam_first': 4}
89028180 alakazam_second  punk=2 walked={'alakazam_second': 7, 'other_second': 30, 'alakazam_first': 4}
89028939 other_second     punk=1 walked={'alakazam_second': 7, 'other_second': 31, 'alakazam_first': 4}
89029056 other_second     punk=1 walked={'alakazam_second': 7, 'other_second': 32, 'alakazam_first': 4}
89029387 other_second     punk=2 walked={'alakazam_second': 7, 'other_second': 33, 'alakazam_first': 4}
89030828 other_second     punk=1 walked={'alakazam_second': 7, 'other_second': 34, 'alakazam_first': 4}
89031234 other_second     punk=2 walked={'alakazam_second': 7, 'other_second': 35, 'alakazam_first': 4}
89031707 other_second     punk=2 walked={'alakazam_second': 7, 'other_second': 36, 'alakazam_first': 4}
89032136 alakazam_second  punk=1 walked={'alakazam_second': 8, 'other_second': 36, 'alakazam_first': 4}
89032606 other_second     punk=2 walked={'alakazam_second': 8, 'other_second': 37, 'alakazam_first': 4}
89032632 other_second     punk=2 walked={'alakazam_second': 8, 'other_second': 38, 'alakazam_first': 4}
89033522 other_second     punk=1 walked={'alakazam_second': 8, 'other_second': 39, 'alakazam_first': 4}
89034118 other_second     punk=4 walked={'alakazam_second': 8, 'other_second': 40, 'alakazam_first': 4}
89034426 other_second     punk=2 walked={'alakazam_second': 8, 'other_second': 41, 'alakazam_first': 4}
89034502 other_second     punk=3 walked={'alakazam_second': 8, 'other_second': 42, 'alakazam_first': 4}
89034916 other_second     punk=3 walked={'alakazam_second': 8, 'other_second': 43, 'alakazam_first': 4}
89035338 other_second     punk=1 walked={'alakazam_second': 8, 'other_second': 44, 'alakazam_first': 4}
89035513 alakazam_second  punk=4 walked={'alakazam_second': 9, 'other_second': 44, 'alakazam_first': 4}
89036262 other_second     punk=2 walked={'alakazam_second': 9, 'other_second': 45, 'alakazam_first': 4}
89036282 other_second     punk=2 walked={'alakazam_second': 9, 'other_second': 46, 'alakazam_first': 4}
89036734 other_second     punk=1 walked={'alakazam_second': 9, 'other_second': 47, 'alakazam_first': 4}
89037180 other_second     punk=1 walked={'alakazam_second': 9, 'other_second': 48, 'alakazam_first': 4}
89037206 other_second     punk=1 walked={'alakazam_second': 9, 'other_second': 49, 'alakazam_first': 4}
89037649 other_second     punk=3 walked={'alakazam_second': 9, 'other_second': 50, 'alakazam_first': 4}
89037662 other_second     punk=2 walked={'alakazam_second': 9, 'other_second': 51, 'alakazam_first': 4}
89038120 other_second     punk=2 walked={'alakazam_second': 9, 'other_second': 52, 'alakazam_first': 4}
89038150 other_second     punk=2 walked={'alakazam_second': 9, 'other_second': 53, 'alakazam_first': 4}
89038174 other_second     punk=2 walked={'alakazam_second': 9, 'other_second': 54, 'alakazam_first': 4}
89038569 other_second     punk=2 walked={'alakazam_second': 9, 'other_second': 55, 'alakazam_first': 4}
89038592 other_second     punk=3 walked={'alakazam_second': 9, 'other_second': 56, 'alakazam_first': 4}
89039024 other_second     punk=1 walked={'alakazam_second': 9, 'other_second': 57, 'alakazam_first': 4}
89039473 other_second     punk=1 walked={'alakazam_second': 9, 'other_second': 58, 'alakazam_first': 4}
89039489 alakazam_first   punk=2 walked={'alakazam_second': 9, 'other_second': 58, 'alakazam_first': 5}
89039522 alakazam_first   punk=1 walked={'alakazam_second': 9, 'other_second': 58, 'alakazam_first': 6}
89039919 other_second     punk=0 walked={'alakazam_second': 9, 'other_second': 59, 'alakazam_first': 6}
89039929 other_second     punk=2 walked={'alakazam_second': 9, 'other_second': 60, 'alakazam_first': 6}
89040849 other_second     punk=1 walked={'alakazam_second': 9, 'other_second': 61, 'alakazam_first': 6}
89040876 other_second     punk=1 walked={'alakazam_second': 9, 'other_second': 62, 'alakazam_first': 6}
89041310 other_second     punk=1 walked={'alakazam_second': 9, 'other_second': 63, 'alakazam_first': 6}
89041337 other_second     punk=3 walked={'alakazam_second': 9, 'other_second': 64, 'alakazam_first': 6}
89041768 other_second     punk=1 walked={'alakazam_second': 9, 'other_second': 65, 'alakazam_first': 6}
89041773 other_second     punk=2 walked={'alakazam_second': 9, 'other_second': 66, 'alakazam_first': 6}
89042222 other_second     punk=2 walked={'alakazam_second': 9, 'other_second': 67, 'alakazam_first': 6}
89042689 other_second     punk=2 walked={'alakazam_second': 9, 'other_second': 68, 'alakazam_first': 6}
89042701 other_second     punk=3 walked={'alakazam_second': 9, 'other_second': 69, 'alakazam_first': 6}
89043144 other_second     punk=1 walked={'alakazam_second': 9, 'other_second': 70, 'alakazam_first': 6}
89043624 other_second     punk=2 walked={'alakazam_second': 9, 'other_second': 71, 'alakazam_first': 6}
89043634 other_second     punk=2 walked={'alakazam_second': 9, 'other_second': 72, 'alakazam_first': 6}
89044157 alakazam_first   punk=3 walked={'alakazam_second': 9, 'other_second': 72, 'alakazam_first': 7}
89044630 other_second     punk=1 walked={'alakazam_second': 9, 'other_second': 73, 'alakazam_first': 7}
89044743 other_second     punk=3 walked={'alakazam_second': 9, 'other_second': 74, 'alakazam_first': 7}
89046113 other_second     punk=3 walked={'alakazam_second': 9, 'other_second': 75, 'alakazam_first': 7}
89046588 other_second     punk=1 walked={'alakazam_second': 9, 'other_second': 76, 'alakazam_first': 7}
89046601 other_second     punk=1 walked={'alakazam_second': 9, 'other_second': 77, 'alakazam_first': 7}
89046658 other_second     punk=3 walked={'alakazam_second': 9, 'other_second': 78, 'alakazam_first': 7}
89047098 other_second     punk=1 walked={'alakazam_second': 9, 'other_second': 79, 'alakazam_first': 7}
89047627 other_second     punk=1 walked={'alakazam_second': 9, 'other_second': 80, 'alakazam_first': 7}
89047639 alakazam_first   punk=1 walked={'alakazam_second': 9, 'other_second': 80, 'alakazam_first': 8}
89048707 other_second     punk=2 walked={'alakazam_second': 9, 'other_second': 81, 'alakazam_first': 8}
89048726 other_second     punk=3 walked={'alakazam_second': 9, 'other_second': 82, 'alakazam_first': 8}
89049182 other_second     punk=3 walked={'alakazam_second': 9, 'other_second': 83, 'alakazam_first': 8}
89049198 other_second     punk=2 walked={'alakazam_second': 9, 'other_second': 84, 'alakazam_first': 8}
89049695 other_second     punk=2 walked={'alakazam_second': 9, 'other_second': 85, 'alakazam_first': 8}
89049714 other_second     punk=1 walked={'alakazam_second': 9, 'other_second': 86, 'alakazam_first': 8}
89049721 other_second     punk=1 walked={'alakazam_second': 9, 'other_second': 87, 'alakazam_first': 8}
89050365 other_second     punk=2 walked={'alakazam_second': 9, 'other_second': 88, 'alakazam_first': 8}
89050734 other_second     punk=2 walked={'alakazam_second': 9, 'other_second': 89, 'alakazam_first': 8}
89050798 other_second     punk=1 walked={'alakazam_second': 9, 'other_second': 90, 'alakazam_first': 8}
89051327 alakazam_second  punk=3 walked={'alakazam_second': 10, 'other_second': 90, 'alakazam_first': 8}
89051747 other_second     punk=2 walked={'alakazam_second': 10, 'other_second': 91, 'alakazam_first': 8}
89054201 other_second     punk=2 walked={'alakazam_second': 10, 'other_second': 92, 'alakazam_first': 8}
89054215 other_second     punk=2 walked={'alakazam_second': 10, 'other_second': 93, 'alakazam_first': 8}
89058769 other_second     punk=3 walked={'alakazam_second': 10, 'other_second': 94, 'alakazam_first': 8}
89064670 other_second     punk=1 walked={'alakazam_second': 10, 'other_second': 95, 'alakazam_first': 8}
89067449 other_second     punk=0 walked={'alakazam_second': 10, 'other_second': 96, 'alakazam_first': 8}
89070428 other_second     punk=3 walked={'alakazam_second': 10, 'other_second': 97, 'alakazam_first': 8}
89076228 other_second     punk=1 walked={'alakazam_second': 10, 'other_second': 98, 'alakazam_first': 8}
89076328 other_second     punk=2 walked={'alakazam_second': 10, 'other_second': 99, 'alakazam_first': 8}
89082051 other_second     punk=1 walked={'alakazam_second': 10, 'other_second': 100, 'alakazam_first': 8}
89087402 other_second     punk=0 walked={'alakazam_second': 10, 'other_second': 101, 'alakazam_first': 8}
89089538 other_second     punk=1 walked={'alakazam_second': 10, 'other_second': 102, 'alakazam_first': 8}
89090694 alakazam_second  punk=1 walked={'alakazam_second': 11, 'other_second': 102, 'alakazam_first': 8}
89097858 other_second     punk=2 walked={'alakazam_second': 11, 'other_second': 103, 'alakazam_first': 8}
89108585 alakazam_second  punk=3 walked={'alakazam_second': 12, 'other_second': 103, 'alakazam_first': 8}
89109611 other_second     punk=2 walked={'alakazam_second': 12, 'other_second': 104, 'alakazam_first': 8}
89113500 other_second     punk=2 walked={'alakazam_second': 12, 'other_second': 105, 'alakazam_first': 8}
89116764 other_second     punk=2 walked={'alakazam_second': 12, 'other_second': 106, 'alakazam_first': 8}
89117312 other_second     punk=2 walked={'alakazam_second': 12, 'other_second': 107, 'alakazam_first': 8}
89118778 other_second     punk=3 walked={'alakazam_second': 12, 'other_second': 108, 'alakazam_first': 8}
89119352 alakazam_second  punk=1 walked={'alakazam_second': 13, 'other_second': 108, 'alakazam_first': 8}
89119423 other_second     punk=3 walked={'alakazam_second': 13, 'other_second': 109, 'alakazam_first': 8}
89119734 alakazam_first   punk=2 walked={'alakazam_second': 13, 'other_second': 109, 'alakazam_first': 9}
89120222 alakazam_second  punk=2 walked={'alakazam_second': 14, 'other_second': 109, 'alakazam_first': 9}
89120710 other_second     punk=2 walked={'alakazam_second': 14, 'other_second': 110, 'alakazam_first': 9}
89120804 other_second     punk=2 walked={'alakazam_second': 14, 'other_second': 111, 'alakazam_first': 9}
89121163 other_second     punk=2 walked={'alakazam_second': 14, 'other_second': 112, 'alakazam_first': 9}
89121699 other_second     punk=3 walked={'alakazam_second': 14, 'other_second': 113, 'alakazam_first': 9}
89122180 other_second     punk=3 walked={'alakazam_second': 14, 'other_second': 114, 'alakazam_first': 9}
89122657 other_second     punk=3 walked={'alakazam_second': 14, 'other_second': 115, 'alakazam_first': 9}
89123165 other_second     punk=2 walked={'alakazam_second': 14, 'other_second': 116, 'alakazam_first': 9}
89124149 other_second     punk=1 walked={'alakazam_second': 14, 'other_second': 117, 'alakazam_first': 9}
89124661 other_second     punk=1 walked={'alakazam_second': 14, 'other_second': 118, 'alakazam_first': 9}
89125192 other_second     punk=2 walked={'alakazam_second': 14, 'other_second': 119, 'alakazam_first': 9}
89126228 alakazam_second  punk=2 walked={'alakazam_second': 15, 'other_second': 119, 'alakazam_first': 9}
89126664 other_second     punk=3 walked={'alakazam_second': 15, 'other_second': 120, 'alakazam_first': 9}
89127174 other_second     punk=2 walked={'alakazam_second': 15, 'other_second': 121, 'alakazam_first': 9}
89128158 other_second     punk=2 walked={'alakazam_second': 15, 'other_second': 122, 'alakazam_first': 9}
89130124 alakazam_first   punk=3 walked={'alakazam_second': 15, 'other_second': 122, 'alakazam_first': 10}
89130589 other_second     punk=2 walked={'alakazam_second': 15, 'other_second': 123, 'alakazam_first': 10}
89131527 other_second     punk=2 walked={'alakazam_second': 15, 'other_second': 124, 'alakazam_first': 10}
89132631 other_second     punk=2 walked={'alakazam_second': 15, 'other_second': 125, 'alakazam_first': 10}
89133127 other_second     punk=2 walked={'alakazam_second': 15, 'other_second': 126, 'alakazam_first': 10}
89133625 alakazam_first   punk=1 walked={'alakazam_second': 15, 'other_second': 126, 'alakazam_first': 11}
89134170 alakazam_second  punk=2 walked={'alakazam_second': 16, 'other_second': 126, 'alakazam_first': 11}
89135422 other_second     punk=2 walked={'alakazam_second': 16, 'other_second': 127, 'alakazam_first': 11}
89135623 other_second     punk=3 walked={'alakazam_second': 16, 'other_second': 128, 'alakazam_first': 11}
89135635 other_second     punk=3 walked={'alakazam_second': 16, 'other_second': 129, 'alakazam_first': 11}
89135961 alakazam_first   punk=3 walked={'alakazam_second': 16, 'other_second': 129, 'alakazam_first': 12}
89136644 other_second     punk=2 walked={'alakazam_second': 16, 'other_second': 130, 'alakazam_first': 12}
89137148 other_second     punk=2 walked={'alakazam_second': 16, 'other_second': 131, 'alakazam_first': 12}
89138147 alakazam_second  punk=1 walked={'alakazam_second': 17, 'other_second': 131, 'alakazam_first': 12}
