rank,team_id,team_name,leaderboard_submission_id,leaderboard_score,medal
1,16422150,junlee789,54775633,1266.2,GOLD
2,16448747,Luca,54769280,1233.8,GOLD
3,16372380,THIRD PTCG Club,54810671,1229.8,GOLD
4,16372029,Jack,54814341,1187.9,GOLD
5,16381823,Yushin Ito,54773249,1183.2,GOLD
6,16397524,jiatu.l,54826859,1144.6,GOLD
7,16374395,Majkel1337,54662660,1136.4,GOLD
8,16371427,bono,54797416,1130.4,GOLD
9,16404352,Oshbocker,54814033,1111.0,GOLD
10,16375066,youtube.com/@BigBugginnings,54816919,1101.1,GOLD
11,16373946,KawattaTaido,54748313,1097.0,GOLD
12,16425135,Rmy,54750312,1093.4,GOLD
13,16381624,LumenLiquidity,54791294,1086.5,GOLD
14,16445525,齐乐,54814758,1080.3,GOLD
15,16379968,Kotaro OKUYAMA,54798842,1080.0,GOLD
16,16471516,wally0593,54822733,1076.0,GOLD
17,16401597,Benarg,54810617,1074.7,GOLD
18,16514212,Dieter,54777244,1073.0,GOLD
19,16400014,__Taichicchi__,54821189,1066.9,GOLD
20,16375320,カントー地方マスター,54810178,1061.9,GOLD
21,16411029,rick & shikitora,54794326,1061.5,SILVER
22,16417358,NoOne,54821548,1061.1,SILVER
23,16372361,pokeca2018,54824940,1061.0,SILVER
24,16378002,Battle Data Base,54810700,1057.9,SILVER
25,16388364,miya,54775722,1057.8,SILVER
26,16406640,gecogeco,54826652,1057.1,SILVER
27,16482392,Skyra,54815165,1053.7,SILVER
28,16499803,Team Rot-Weiß,54828515,1051.7,SILVER
29,16385250,matsurih,54799145,1048.9,SILVER
30,16372828,iwashi,54632322,1043.6,SILVER
31,16397982,NorthStar,54789088,1043.3,SILVER
32,16403402,takaygiiiiiiii,54820380,1043.0,SILVER
33,16440585,Brahim Driss,54815176,1042.1,SILVER
34,16389043,Pushu?,54800981,1040.7,SILVER
35,16377557,ポケカ前線,54817668,1037.9,SILVER
36,16375173,pztriatomic,54768732,1037.4,SILVER
37,16375779,Topdecking is All You Need,54827939,1037.0,SILVER
38,16420537,tonakaiiii,54612214,1035.5,SILVER
39,16442659,cununn,54822729,1035.5,SILVER
40,16374973,Julian,54798028,1034.2,SILVER
