submission_id,episode_id,seat_index
54773249,88160179,1
54773249,88161793,1
54773249,88162238,1
54773249,88162328,1
54773249,88162865,1
54773249,88163390,1
54773249,88163918,0
54773249,88164487,0
54773249,88165023,0
54773249,88165075,1
54773249,88165561,0
54773249,88166070,1
54773249,88166077,0
54773249,88166595,0
54773249,88167131,0
54773249,88167675,0
54773249,88171332,0
54773249,88171431,1
54773249,88172405,0
54773249,88172479,1
54773249,88175064,0
54773249,88175078,1
54773249,88176639,1
54773249,88177730,0
54773249,88178241,1
54773249,88178786,0
54773249,88179274,1
54773249,88179788,0
54773249,88180295,1
54773249,88180829,0
54773249,88181353,0
54773249,88181912,1
54773249,88182451,1
54773249,88182985,0
54773249,88183542,0
54773249,88184045,0
54773249,88184587,0
54773249,88185088,1
54773249,88185105,1
54773249,88185662,1
54773249,88186123,1
54773249,88186178,0
54773249,88186680,0
54773249,88187237,1
54773249,88187804,0
54773249,88188319,1
54773249,88188881,1
54773249,88189392,1
54773249,88191006,1
54773249,88192025,0
54773249,88192549,0
54773249,88195234,0
54773249,88198447,0
54773249,88202640,1
54773249,88203071,0
54773249,88206895,0
54773249,88208293,0
54773249,88210571,1
54773249,88210975,0
54773249,88211042,0
54773249,88211566,0
54773249,88213164,1
54773249,88215619,0
54773249,88217256,0
54773249,88218280,0
54773249,88224901,0
54773249,88225199,1
54773249,88232765,1
54773249,88233654,1
54773249,88239078,0
54773249,88244265,1
54773249,88244393,1
54773249,88244884,1
54773249,88246420,1
54773249,88246984,0
54773249,88248298,1
54773249,88248589,1
54773249,88248607,0
54773249,88249669,0
54773249,88251266,0
54773249,88251789,0
54773249,88252299,1
54773249,88252837,0
54773249,88253320,1
54773249,88253821,1
54773249,88254377,0
54773249,88254923,1
54773249,88255893,1
54773249,88258639,1
54773249,88266013,1
54773249,88281112,0
54773249,88281365,1
54773249,88292961,1
54773249,88296414,0
54773249,88301696,0
54773249,88304994,1
54773249,88305587,1
54773249,88306023,1
54773249,88306527,0
54773249,88307030,1
54773249,88307527,1
54773249,88308055,0
54773249,88308146,0
54773249,88308577,1
54773249,88309093,0
54773249,88309604,1
54773249,88310123,0
54773249,88310642,0
54773249,88311155,1
54773249,88311671,0
54773249,88312251,0
54773249,88312777,0
54773249,88313299,0
54773249,88313800,0
54773249,88313807,1
54773249,88314305,1
54773249,88314834,0
54773249,88315338,1
54773249,88315856,0
54773249,88315860,1
54773249,88316366,0
54773249,88316858,0
54773249,88316886,0
54773249,88317401,0
54773249,88317914,0
54773249,88317919,0
54773249,88317935,1
54773249,88318429,1
54773249,88318945,1
54773249,88319454,1
54773249,88319459,0
54773249,88319965,1
54773249,88320489,0
54773249,88320999,1
54773249,88321027,1
54773249,88321525,1
54773249,88322053,1
54773249,88322616,0
54773249,88323137,0
54773249,88323139,1
54773249,88323640,1
54773249,88323664,1
54773249,88324181,0
54773249,88324191,0
54773249,88324694,0
54773249,88325227,1
54773249,88325745,0
54773249,88326248,0
54773249,88326289,1
54773249,88326768,1
54773249,88326776,1
54773249,88327282,0
54773249,88327789,1
54773249,88328315,0
54773249,88328855,0
54773249,88329383,1
54773249,88329422,0
54773249,88329892,0
54773249,88329902,0
54773249,88329904,0
54773249,88329935,1
54773249,88330440,1
54773249,88330970,1
54773249,88330984,0
54773249,88331489,0
54773249,88331497,0
54773249,88332017,1
54773249,88332528,0
54773249,88333043,0
54773249,88333532,1
54773249,88333555,1
54773249,88334087,1
54773249,88334600,1
54773249,88334658,0
54773249,88335130,1
54773249,88335136,1
54773249,88335656,0
54773249,88336176,0
54773249,88336697,1
54773249,88337216,0
54773249,88337232,1
54773249,88337243,1
54773249,88337758,0
54773249,88337782,0
54773249,88338291,0
54773249,88338821,1
54773249,88339338,1
54773249,88339374,0
54773249,88339864,1
54773249,88340382,1
54773249,88340440,0
54773249,88340920,1
54773249,88340923,0
54773249,88341497,0
54773249,88342035,1
54773249,88342571,0
54773249,88343103,1
54773249,88343634,0
54773249,88344159,1
54773249,88344660,1
54773249,88344679,1
54773249,88345217,1
54773249,88345745,0
54773249,88346260,0
54773249,88346286,1
54773249,88346787,0
54773249,88346802,0
54773249,88347310,0
54773249,88347333,0
54773249,88347343,0
54773249,88347864,0
54773249,88348377,1
54773249,88348894,0
54773249,88349435,1
54773249,88349954,0
54773249,88349973,0
54773249,88350497,1
54773249,88351019,0
54773249,88351106,1
54773249,88351543,0
54773249,88352065,0
54773249,88352070,1
54773249,88352597,0
54773249,88353166,0
54773249,88353733,1
54773249,88359982,0
54773249,88364431,0
54773249,88367008,1
54773249,88369798,0
54773249,88370689,0
54773249,88372504,1
54773249,88372933,0
54773249,88373510,0
54773249,88374061,0
54773249,88374968,1
54773249,88376154,1
54773249,88376579,0
54773249,88376581,0
54773249,88377110,0
54773249,88377633,0
54773249,88378685,1
54773249,88381110,0
54773249,88381386,1
54773249,88381849,1
54773249,88382677,0
54773249,88385984,1
54773249,88387022,1
54773249,88389734,1
54773249,88391729,1
54773249,88393237,1
54773249,88396363,1
54773249,88396664,1
54773249,88396910,0
54773249,88399259,1
54773249,88400249,0
54773249,88401864,1
54773249,88403446,1
54773249,88403963,1
54773249,88404439,1
54773249,88404984,1
54773249,88405470,1
54773249,88405507,0
54773249,88405965,1
54773249,88406415,0
54773249,88406472,1
