adrena_brains,attacks,bosses,create_time,episode_id,first_attack_turn,first_ready_turn,first_shadow_turn,froslass_evolves,grim_evolutions,opp_deck_left,opp_first_attack_turn,opp_prize_left,opponent_deck_hash,opponent_family,opponent_rating,opponent_submission,our_bodies_left,our_deck_left,our_prize_left,our_rating,our_turns,own_first_ready_turn,own_first_shadow_turn,rare_candies,seat,shadow_attacks,stamps,turns,version,went_first,won
6,6,0,2026-08-12T01:15:47.209102800Z,92155896,3,3,3,4,3,21,6,1,9714ab5c3996f6cc,Grimmsnarl (mirror),,55445763,5,17,1,,7,2,2,1,0,6,2,13,v19,True,True
4,4,0,2026-08-12T01:19:11.701537400Z,92156000,3,3,3,0,2,15,2,5,d05bff224d40b9c6,Mega Lucario,576.8621,53805430,6,23,2,600.0,5,2,2,1,0,4,1,9,v19,True,True
1,5,0,2026-08-12T01:23:10.808588300Z,92156920,3,3,3,1,2,18,4,4,7fa65817cc79c36c,Alakazam,733.4219,55297140,6,22,1,702.0526,6,2,2,1,1,4,2,11,v19,True,True
5,3,0,2026-08-12T01:27:10.669439500Z,92157853,6,6,6,1,2,26,3,1,9714ab5c3996f6cc,Grimmsnarl (mirror),843.8564,55330514,4,16,2,943.1907,5,3,3,0,1,3,2,11,v19,False,False
8,4,1,2026-08-12T01:31:11.019590300Z,92158793,4,8,8,1,1,20,7,5,a665414222aea434,Alakazam,813.8967,55402134,6,22,1,807.0842,6,4,4,0,1,3,2,12,v19,False,True
3,5,0,2026-08-12T01:35:10.839615500Z,92159731,3,5,5,1,3,22,6,1,9714ab5c3996f6cc,Grimmsnarl (mirror),783.4086,55425523,6,16,1,892.9738,6,3,3,1,0,4,1,11,v19,True,True
0,5,1,2026-08-12T01:39:10.597467900Z,92160685,4,4,4,5,4,22,5,1,62088a8950aeae46,Kangaskhan / Crustle,881.2706,55269067,4,9,1,862.0408,6,2,2,3,1,5,2,12,v19,False,True
7,3,0,2026-08-12T01:43:12.357668500Z,92161623,6,6,6,2,2,18,3,1,9714ab5c3996f6cc,Grimmsnarl (mirror),918.3549,55429427,4,20,1,964.6861,5,3,3,0,1,3,2,11,v19,False,False
5,5,0,2026-08-12T01:43:12.394926400Z,92161640,3,3,3,0,3,20,6,4,9714ab5c3996f6cc,Grimmsnarl (mirror),980.7805,55445470,6,20,1,915.456,6,2,2,1,0,5,2,11,v19,True,True
5,3,1,2026-08-12T01:47:12.641302900Z,92162573,6,6,6,0,1,21,3,5,cc38cb450b86770a,Alakazam,631.9822,55419247,6,19,1,921.2359,6,3,3,1,1,3,2,12,v19,False,True
5,4,1,2026-08-12T01:51:16.393332400Z,92163508,8,6,8,1,2,6,3,1,202ee2cec6cbe8b4,Dragapult,967.3149,55437453,2,23,1,930.0725,7,3,4,0,1,4,0,15,v19,False,False
7,3,0,2026-08-12T01:55:11.149889800Z,92164447,4,4,4,4,2,12,3,3,cc38cb450b86770a,Alakazam,973.0727,55441727,5,28,1,902.5305,5,2,2,2,1,3,0,10,v19,False,True
0,0,1,2026-08-12T01:59:10.677996400Z,92165376,,,,0,0,35,4,4,48047de8a9cc5ca2,other: Conkeldurr,643.7431,55094883,0,44,6,938.1391,2,,,0,0,0,0,4,v19,True,False
2,3,0,2026-08-12T02:03:11.382720200Z,92166326,3,9,9,1,2,17,10,2,9714ab5c3996f6cc,Grimmsnarl (mirror),843.6602,55421757,4,16,4,881.8479,6,5,5,0,0,2,2,12,v19,True,False
4,4,1,2026-08-12T02:07:11.050369900Z,92167281,3,3,3,0,1,16,2,4,c3c16f0e65487ad6,Mega Lucario,838.51,55446192,5,30,1,855.8376,5,2,2,1,0,4,2,9,v19,True,True
8,4,1,2026-08-12T02:11:10.730778300Z,92168214,6,6,6,3,2,24,5,3,9714ab5c3996f6cc,Grimmsnarl (mirror),815.1667,55427169,6,16,2,874.0795,6,3,3,1,1,3,1,12,v19,False,True
6,5,0,2026-08-12T02:15:10.896107200Z,92169135,5,5,5,0,3,27,2,3,ebd4dbb270dce6a2,Archaludon,851.1147,54999778,6,23,1,890.0534,7,3,3,1,0,5,1,13,v19,True,True
4,3,2,2026-08-12T02:19:10.998838100Z,92170076,4,4,4,4,2,8,3,2,cc38cb450b86770a,Alakazam,873.651,55425356,6,22,2,906.292,6,2,2,1,1,3,2,12,v19,False,True
4,2,1,2026-08-12T02:23:10.747919500Z,92171031,5,5,5,3,1,11,6,1,11276baf19535b35,other: N’s Zoroark ex,962.928,55359945,4,14,6,921.8889,7,3,3,0,0,2,2,14,v19,True,False
