download_status,deck_hash,team_id,submission_id,episode_id,seat_index,replay_path
success,9714ab5c3996f6cc,16381823,55350342,91635579,0,episodes\91635579\replay\episode_91635579.json
success,9714ab5c3996f6cc,16381823,55350342,91650310,1,episodes\91650310\replay\episode_91650310.json
success,9714ab5c3996f6cc,16381823,55350342,91688657,1,episodes\91688657\replay\episode_91688657.json
success,9714ab5c3996f6cc,16381823,55350342,91690290,0,episodes\91690290\replay\episode_91690290.json
success,9714ab5c3996f6cc,16381823,55350342,91695034,1,episodes\91695034\replay\episode_91695034.json
success,9714ab5c3996f6cc,16381823,55350342,91710720,1,episodes\91710720\replay\episode_91710720.json
success,9714ab5c3996f6cc,16381823,55350342,91713507,0,episodes\91713507\replay\episode_91713507.json
success,9714ab5c3996f6cc,16381823,55350342,91716325,1,episodes\91716325\replay\episode_91716325.json
success,9714ab5c3996f6cc,16381823,55350342,91731296,0,episodes\91731296\replay\episode_91731296.json
success,9714ab5c3996f6cc,16381823,55350342,91731955,0,episodes\91731955\replay\episode_91731955.json
success,9714ab5c3996f6cc,16381823,55350342,91758892,0,episodes\91758892\replay\episode_91758892.json
success,9714ab5c3996f6cc,16381823,55350342,91763636,1,episodes\91763636\replay\episode_91763636.json
success,9714ab5c3996f6cc,16381823,55350342,91779001,0,episodes\91779001\replay\episode_91779001.json
success,9714ab5c3996f6cc,16381823,55350342,91796791,0,episodes\91796791\replay\episode_91796791.json
success,9714ab5c3996f6cc,16381823,55350342,91807096,0,episodes\91807096\replay\episode_91807096.json
success,9714ab5c3996f6cc,16381823,55350342,91811577,1,episodes\91811577\replay\episode_91811577.json
success,9714ab5c3996f6cc,16381823,55350342,91815261,0,episodes\91815261\replay\episode_91815261.json
success,9714ab5c3996f6cc,16381823,55350342,91826543,1,episodes\91826543\replay\episode_91826543.json
success,9714ab5c3996f6cc,16381823,55350342,91839590,0,episodes\91839590\replay\episode_91839590.json
success,9714ab5c3996f6cc,16381823,55350342,91860056,1,episodes\91860056\replay\episode_91860056.json
success,9714ab5c3996f6cc,16381823,55350342,91872307,1,episodes\91872307\replay\episode_91872307.json
success,9714ab5c3996f6cc,16381823,55350342,91888060,0,episodes\91888060\replay\episode_91888060.json
success,9714ab5c3996f6cc,16381823,55350342,91892790,0,episodes\91892790\replay\episode_91892790.json
success,9714ab5c3996f6cc,16381823,55350342,91920847,1,episodes\91920847\replay\episode_91920847.json
success,9714ab5c3996f6cc,16381823,55350342,91940322,0,episodes\91940322\replay\episode_91940322.json
success,9714ab5c3996f6cc,16381823,55350342,91977773,1,episodes\91977773\replay\episode_91977773.json
success,9714ab5c3996f6cc,16381823,55350342,91978700,0,episodes\91978700\replay\episode_91978700.json
success,9714ab5c3996f6cc,16381823,55350342,91983457,1,episodes\91983457\replay\episode_91983457.json
success,9714ab5c3996f6cc,16381823,55350342,91991823,1,episodes\91991823\replay\episode_91991823.json
success,9714ab5c3996f6cc,16381823,55350342,91995624,0,episodes\91995624\replay\episode_91995624.json
success,9714ab5c3996f6cc,16381823,55350342,92018091,0,episodes\92018091\replay\episode_92018091.json
success,9714ab5c3996f6cc,16381823,55350342,92029279,0,episodes\92029279\replay\episode_92029279.json
success,9714ab5c3996f6cc,16381823,55350342,92066000,1,episodes\92066000\replay\episode_92066000.json
success,9714ab5c3996f6cc,16381823,55350342,92066033,0,episodes\92066033\replay\episode_92066033.json
success,9714ab5c3996f6cc,16381823,55350342,92091289,0,episodes\92091289\replay\episode_92091289.json
success,9714ab5c3996f6cc,16381823,55350342,92092226,1,episodes\92092226\replay\episode_92092226.json
success,9714ab5c3996f6cc,16381823,55350342,92113820,1,episodes\92113820\replay\episode_92113820.json
