decision_id,episode_id,exact_top1,semantic_top1,top3,top5,mrr,log_loss,confidence,low_confidence,selected_action_type,predicted_action_type,teacher_weight,unique_legal,high_importance,opponent,go_first,outcome,rank,predicted_candidate_index,selected_candidate_indices
85995091:1:11,85995091,True,True,True,True,1.0,0.9723184942170789,0.37820515434921614,True,card,card,0.69,False,False,Alakazam,False,loss,1,4,[4]
85995091:1:114,85995091,True,True,True,True,1.0,0.9825543953668542,0.37435362931785365,True,card,card,0.57,False,False,Alakazam,False,loss,1,4,[4]
85995091:1:115,85995091,True,True,True,True,1.0,0.6703625049199539,0.5115231145272152,True,evolve,evolve,0.7124999999999999,False,True,Alakazam,False,loss,1,0,[0]
85995091:1:116,85995091,True,True,True,True,1.0,0.051022751806742664,0.9502570502217148,False,ability,ability,0.69,False,False,Alakazam,False,loss,1,3,[3]
85995091:1:117,85995091,True,True,True,True,1.0,0.9576612926981057,0.3837894083064154,True,evolve,evolve,0.7124999999999999,False,True,Alakazam,False,loss,1,1,[1]
85995091:1:118,85995091,True,True,True,True,1.0,0.07078388303084969,0.931663218602848,False,yes,yes,0.8280000000000001,False,False,Alakazam,False,loss,1,0,[0]
85995091:1:119,85995091,True,True,True,True,1.0,1.4326536530153509,0.23867472124749864,True,card,card,0.8280000000000001,False,False,Alakazam,False,loss,1,1,[1]
85995091:1:12,85995091,True,True,True,True,1.0,1.5879167015587707,0.4735692798432333,True,card,card,0.69,False,False,Alakazam,False,loss,1,0,"[0, 5]"
85995091:1:120,85995091,True,True,True,True,1.0,-0.0,1.0,False,card,card,0.20700000000000002,True,False,Alakazam,False,loss,1,0,[0]
85995091:1:121,85995091,True,True,True,True,1.0,0.9488880645992107,0.38717129366142305,True,attack,attack,1.0350000000000001,False,True,Alakazam,False,loss,1,3,[3]
85995091:1:122,85995091,True,True,True,True,1.0,0.24475561551155797,0.7828958424649879,False,card,card,0.8280000000000001,False,False,Alakazam,False,loss,1,0,[0]
85995091:1:13,85995091,True,True,True,True,1.0,1.1484486158630036,0.31712837587691933,True,energy,energy,0.75,False,True,Alakazam,False,loss,1,4,[4]
85995091:1:132,85995091,True,True,True,True,1.0,1.0559010738425854,0.34787882152996547,True,card,card,0.69,False,False,Alakazam,False,loss,1,3,[3]
85995091:1:133,85995091,False,False,True,True,0.3333333333333333,2.024156215207898,0.33641773136618547,True,card,attack,0.5549999999999999,False,False,Alakazam,False,loss,1,5,[1]
85995091:1:134,85995091,True,True,True,True,1.0,-0.0,1.0,False,card,card,0.1725,True,False,Alakazam,False,loss,1,0,[0]
85995091:1:135,85995091,True,True,True,True,1.0,0.7851203126537565,0.45606482811495147,True,evolve,evolve,0.69375,False,True,Alakazam,False,loss,1,4,[4]
85995091:1:136,85995091,True,True,True,True,1.0,0.03826915733120677,0.962453854514374,False,ability,ability,0.5549999999999999,False,False,Alakazam,False,loss,1,4,[4]
85995091:1:137,85995091,False,False,True,True,0.3333333333333333,2.181456123872838,0.2570856290534895,True,card,attack,0.69,False,False,Alakazam,False,loss,1,7,[0]
85995091:1:138,85995091,True,True,True,True,1.0,1.6468495288124092,0.28259153433702694,True,card,card,0.6552,False,False,Alakazam,False,loss,1,4,"[0, 1, 2, 3, 4]"
85995091:1:139,85995091,False,False,True,True,0.5,2.019092194072932,0.2819028240224943,True,card,attack,0.8280000000000001,False,False,Alakazam,False,loss,1,6,[2]
