rank,team_id,team_name,leaderboard_submission_id,leaderboard_score,medal
1,16400014,__Taichicchi__,54837973,1219.4,GOLD
2,16385372,kashiwashira,54829486,1183.5,GOLD
3,16422150,junlee789,54775633,1176.8,GOLD
4,16381624,LumenLiquidity,54827443,1174.8,GOLD
5,16374395,Majkel1337,54662660,1173.5,GOLD
6,16372380,THIRD PTCG Club,54834745,1162.5,GOLD
7,16381823,Yushin Ito,54773249,1139.5,GOLD
8,16371427,bono,54797424,1130.3,GOLD
9,16404352,Oshbocker,54789356,1115.8,GOLD
10,16382964,Rafael,54833603,1111.0,GOLD
11,16373946,KawattaTaido,54748313,1102.1,GOLD
12,16372307,Team KASA.,54833827,1099.3,GOLD
13,16379968,Kotaro OKUYAMA,54798842,1097.1,GOLD
14,16445525,齐乐,54831269,1095.3,GOLD
15,16377557,ポケカ前線,54802707,1091.0,GOLD
16,16375066,youtube.com/@BigBugginnings,54837502,1088.6,GOLD
17,16397524,jiatu.l,54826859,1086.8,GOLD
18,16390728,Kazama Yusuke,54833964,1078.7,GOLD
19,16499803,Team Rot-Weiß,54834915,1077.6,GOLD
20,16378002,Battle Data Base,54810700,1075.7,GOLD
21,16514272,Dominic Peel,54836630,1074.2,SILVER
22,16385250,matsurih,54799145,1073.3,SILVER
23,16425135,Rmy,54751435,1072.2,SILVER
24,16407282,SQUIRTLE (prime),54828445,1071.8,SILVER
25,16401597,Benarg,54810617,1071.2,SILVER
26,16383673,Banjo,54797536,1070.6,SILVER
27,16388364,miya,54775722,1069.7,SILVER
28,16473179,ei ei ei yikuso,54819933,1064.3,SILVER
29,16406640,gecogeco,54826656,1062.4,SILVER
30,16383917,koala_bear “もりたにあん”,54836418,1059.8,SILVER
31,16372029,Jack,54833210,1055.7,SILVER
32,16375942,perrodawn,54827435,1055.5,SILVER
33,16375320,カントー地方マスター,54810178,1051.8,SILVER
34,16470414,Larry,54749448,1048.7,SILVER
35,16411724,me and the lads,54837119,1047.0,SILVER
36,16539421,Zachary Zhang,54806006,1045.2,SILVER
37,16378476,aaa,54839432,1043.1,SILVER
38,16372517,S4nkurero,54784529,1041.8,SILVER
39,16387915,tw_shin,54809294,1038.3,SILVER
40,16373951,Canon,54838480,1035.2,SILVER
