matchup,game,seat0,seat1,winner,result,error_agent,error_type,illegal_agent,elapsed_ms,moves_seat0,moves_seat1,time_seat0_ms,time_seat1_ms
.\agents\grimmsnarl\grimmsnarl_ml_v2__vs__.\agents\grimmsnarl\grimmsnarl_ml_v1,1,.\agents\grimmsnarl\grimmsnarl_ml_v2,.\agents\grimmsnarl\grimmsnarl_ml_v1,.\agents\grimmsnarl\grimmsnarl_ml_v2,win,,,,6173.937999992631,115,90,3436.605799535755,2639.13099974161
.\agents\grimmsnarl\grimmsnarl_ml_v2__vs__.\agents\grimmsnarl\grimmsnarl_ml_v1,2,.\agents\grimmsnarl\grimmsnarl_ml_v1,.\agents\grimmsnarl\grimmsnarl_ml_v2,.\agents\grimmsnarl\grimmsnarl_ml_v1,win,,,,6832.463299972005,120,108,3307.716500305105,3389.6135998656973
.\agents\grimmsnarl\grimmsnarl_ml_v2__vs__.\agents\grimmsnarl\grimmsnarl_ml_v1,3,.\agents\grimmsnarl\grimmsnarl_ml_v2,.\agents\grimmsnarl\grimmsnarl_ml_v1,.\agents\grimmsnarl\grimmsnarl_ml_v2,win,,,,4998.3949000015855,109,63,3418.2723000412807,1489.3751998897642
.\agents\grimmsnarl\grimmsnarl_ml_v2__vs__.\agents\grimmsnarl\grimmsnarl_ml_v1,4,.\agents\grimmsnarl\grimmsnarl_ml_v1,.\agents\grimmsnarl\grimmsnarl_ml_v2,.\agents\grimmsnarl\grimmsnarl_ml_v2,win,,,,6630.94409997575,89,129,2902.4857002077624,3611.3855998264626
.\agents\grimmsnarl\grimmsnarl_ml_v2__vs__.\agents\grimmsnarl\grimmsnarl_ml_v1,5,.\agents\grimmsnarl\grimmsnarl_ml_v2,.\agents\grimmsnarl\grimmsnarl_ml_v1,.\agents\grimmsnarl\grimmsnarl_ml_v2,win,,,,5449.487800011411,122,79,3566.6432997677475,1789.2773000057787
.\agents\grimmsnarl\grimmsnarl_ml_v2__vs__.\agents\grimmsnarl\grimmsnarl_ml_v1,6,.\agents\grimmsnarl\grimmsnarl_ml_v1,.\agents\grimmsnarl\grimmsnarl_ml_v2,.\agents\grimmsnarl\grimmsnarl_ml_v2,win,,,,6376.185100001749,100,141,2102.179699926637,4165.116899646819
.\agents\grimmsnarl\grimmsnarl_ml_v2__vs__.\agents\grimmsnarl\grimmsnarl_ml_v1,7,.\agents\grimmsnarl\grimmsnarl_ml_v2,.\agents\grimmsnarl\grimmsnarl_ml_v1,.\agents\grimmsnarl\grimmsnarl_ml_v2,win,,,,5188.559899979737,109,76,3104.802500049118,1987.0349997654557
.\agents\grimmsnarl\grimmsnarl_ml_v2__vs__.\agents\grimmsnarl\grimmsnarl_ml_v1,8,.\agents\grimmsnarl\grimmsnarl_ml_v1,.\agents\grimmsnarl\grimmsnarl_ml_v2,.\agents\grimmsnarl\grimmsnarl_ml_v2,win,,,,4482.499399979133,71,116,1585.2370999054983,2806.4697001245804
.\agents\grimmsnarl\grimmsnarl_ml_v2__vs__.\agents\grimmsnarl\grimmsnarl_ml_v1,9,.\agents\grimmsnarl\grimmsnarl_ml_v2,.\agents\grimmsnarl\grimmsnarl_ml_v1,.\agents\grimmsnarl\grimmsnarl_ml_v2,win,,,,4219.838799966965,103,59,2728.2666998216882,1427.0575000555255
.\agents\grimmsnarl\grimmsnarl_ml_v2__vs__.\agents\grimmsnarl\grimmsnarl_ml_v1,10,.\agents\grimmsnarl\grimmsnarl_ml_v1,.\agents\grimmsnarl\grimmsnarl_ml_v2,.\agents\grimmsnarl\grimmsnarl_ml_v2,win,,,,6170.281500031706,82,115,2485.557099978905,3585.684700112324
.\agents\grimmsnarl\grimmsnarl_ml_v2__vs__.\agents\grimmsnarl\grimmsnarl_ml_v1,11,.\agents\grimmsnarl\grimmsnarl_ml_v2,.\agents\grimmsnarl\grimmsnarl_ml_v1,.\agents\grimmsnarl\grimmsnarl_ml_v1,win,,,,6103.273700049613,101,94,2527.440399979241,3475.1851999899372
.\agents\grimmsnarl\grimmsnarl_ml_v2__vs__.\agents\grimmsnarl\grimmsnarl_ml_v1,12,.\agents\grimmsnarl\grimmsnarl_ml_v1,.\agents\grimmsnarl\grimmsnarl_ml_v2,.\agents\grimmsnarl\grimmsnarl_ml_v2,win,,,,4625.130300002638,83,74,2132.316999952309,2409.9500002339482
.\agents\grimmsnarl\grimmsnarl_ml_v2__vs__.\agents\grimmsnarl\grimmsnarl_ml_v1,13,.\agents\grimmsnarl\grimmsnarl_ml_v2,.\agents\grimmsnarl\grimmsnarl_ml_v1,.\agents\grimmsnarl\grimmsnarl_ml_v2,win,,,,4490.335300040897,92,71,2862.458699790295,1545.2431997982785
