opponent_archetype,games,wins,win_rate,attack_turn_rate,alakazam_attacks,deckout_losses,unsafe_dudun_losses
Team Rocket Spidops,18,15,0.8333333333333334,0.5842592592592593,2.7777777777777777,0,1
Alakazam,17,13,0.7647058823529411,0.7278011204481792,5.235294117647059,2,0
Marnie's Grimmsnarl,10,6,0.6,0.5385714285714286,2.7,0,0
Cinderace / Mega Starmie,9,5,0.5555555555555556,0.575925925925926,2.888888888888889,0,1
Crustle + Mega Kangaskhan,9,2,0.2222222222222222,0.5486772486772487,2.3333333333333335,0,0
Other,8,3,0.375,0.6925595238095238,4.375,3,0
Dragapult,7,3,0.42857142857142855,0.5399659863945578,2.7142857142857144,1,1
Hop Trevenant/Dragapult,7,3,0.42857142857142855,0.6333137100994245,5.571428571428571,3,0
Mega Lucario,4,1,0.25,0.7724116161616161,6.75,1,0
Festival Dipplin,3,1,0.3333333333333333,0.5444444444444444,3.0,0,0
