submission_id,episode_id,seat_index
54773249,89286150,1
54773249,89294788,1
54773249,89303843,0
54773249,89308479,0
54773249,89310623,0
54773249,89313701,0
54773249,89316135,0
54773249,89317689,0
54773249,89317943,0
54773249,89323783,0
54773249,89327716,1
54773249,89330685,0
54773249,89332329,0
54773249,89339085,0
54773249,89342882,1
54773249,89348145,1
54773249,89359473,0
54773249,89360902,0
54773249,89371586,1
54773249,89379536,1
54773249,89379901,1
54773249,89382147,1
54773249,89385945,1
54773249,89386439,0
54773249,89387850,0
54773249,89388504,1
54773249,89389047,0
54773249,89389527,0
54773249,89389535,0
54773249,89389965,1
54773249,89390506,1
54773249,89391034,1
54773249,89391557,0
54773249,89392075,1
54773249,89392180,0
54773249,89392568,1
54773249,89392594,1
54773249,89393112,0
54773249,89393635,1
54773249,89393643,1
54773249,89393649,0
54773249,89394168,0
54773249,89394686,0
54773249,89395217,1
54773249,89395745,1
54773249,89396207,1
54773249,89396212,0
54773249,89396259,1
54773249,89396264,0
54773249,89396797,1
54773249,89397321,0
54773249,89397859,1
54773249,89398400,0
54773249,89398432,1
54773249,89398930,0
54773249,89398950,0
54773249,89399406,0
54773249,89399970,1
54773249,89400501,1
54773249,89400503,1
54773249,89400613,1
54773249,89401023,0
54773249,89401542,1
54773249,89401549,0
54773249,89402077,1
54773249,89402602,0
54773249,89403128,0
54773249,89403154,0
54773249,89403654,0
54773249,89403661,1
54773249,89404182,1
54773249,89404705,1
54773249,89404717,1
54773249,89404733,0
54773249,89405235,1
54773249,89405242,0
54773249,89405410,1
54773249,89405757,0
54773249,89406282,0
54773249,89406787,1
54773249,89406800,1
54773249,89406803,0
54773249,89406812,1
54773249,89407315,1
54773249,89407326,1
54773249,89407847,0
54773249,89408381,1
54773249,89408907,1
54773249,89409429,1
54773249,89409956,1
54773249,89410480,1
54773249,89411004,0
54773249,89411523,0
54773249,89411531,1
54773249,89411537,0
54773249,89412054,0
54773249,89412586,0
54773249,89412588,1
54773249,89412611,1
54773249,89413112,0
54773249,89413640,0
54773249,89414179,0
54773249,89414205,0
54773249,89414689,0
54773249,89414704,1
54773249,89415219,0
54773249,89415235,0
54773249,89415242,1
54773249,89415757,0
54773249,89416286,1
54773249,89416291,1
54773249,89416834,1
54773249,89417401,0
54773249,89417447,1
54773249,89417979,0
54773249,89417984,1
54773249,89418488,1
54773249,89418508,0
54773249,89419054,0
54773249,89419585,1
54773249,89419591,0
54773249,89420132,1
54773249,89420674,0
54773249,89421226,0
54773249,89421778,0
54773249,89422314,0
54773249,89422843,1
54773249,89422848,1
54773249,89423388,0
54773249,89423914,1
54773249,89424476,0
54773249,89424903,1
54773249,89425005,1
54773249,89425012,1
54773249,89425545,0
54773249,89426077,0
54773249,89426086,1
54773249,89426090,0
54773249,89426619,1
54773249,89427154,1
54773249,89427717,0
54773249,89428227,0
54773249,89428235,1
54773249,89428240,0
54773249,89428779,1
54773249,89429316,0
54773249,89429323,0
54773249,89429331,1
54773249,89429866,1
54773249,89430400,0
54773249,89430931,0
54773249,89430940,1
54773249,89430943,1
54773249,89431466,0
54773249,89432008,1
54773249,89432546,1
54773249,89433089,0
54773249,89433095,1
54773249,89433617,0
54773249,89433636,0
54773249,89434172,1
54773249,89434177,0
54773249,89434703,1
54773249,89435194,0
54773249,89435241,1
54773249,89435748,1
54773249,89435770,0
54773249,89435778,0
54773249,89436298,1
54773249,89436828,0
54773249,89436841,1
54773249,89437365,1
54773249,89437370,1
54773249,89437892,0
54773249,89437917,0
54773249,89438445,1
54773249,89438989,0
54773249,89439006,1
54773249,89439529,0
54773249,89440045,0
54773249,89440059,1
54773249,89440593,0
54773249,89441121,1
54773249,89441657,1
54773249,89442196,0
54773249,89442732,0
54773249,89442738,0
54773249,89443265,0
54773249,89443790,0
54773249,89444331,0
54773249,89444332,1
54773249,89444869,0
54773249,89445417,0
54773249,89445444,0
54773249,89445950,1
54773249,89445951,0
54773249,89446513,0
54773249,89447054,0
54773249,89447056,1
54773249,89447641,0
54773249,89448113,0
54773249,89448135,0
54773249,89448141,0
54773249,89448660,0
54773249,89448672,0
54773249,89449190,0
54773249,89449210,1
54773249,89449741,0
54773249,89449744,0
54773249,89449746,1
54773249,89449776,1
54773249,89450284,0
54773249,89450801,0
54773249,89450819,1
54773249,89451375,0
54773249,89451912,1
54773249,89452461,1
54773249,89452988,0
54773249,89453030,1
54773249,89453514,1
54773249,89453518,1
54773249,89454056,0
54773249,89454610,0
54773249,89455128,0
54773249,89455152,0
54773249,89455684,0
54773249,89455692,0
54773249,89456269,1
54773249,89456837,1
54773249,89458346,1
54773249,89458362,1
54773249,89458971,1
54773249,89459558,1
54773249,89459996,1
54773249,89460051,0
54773249,89460591,0
54773249,89460615,0
54773249,89461160,0
54773249,89462695,0
54773249,89463759,0
54773249,89466999,1
54773249,89467067,0
54773249,89468059,1
54773249,89468065,1
