matchup,game,seat0,seat1,winner,result,error_agent,error_type,illegal_agent,elapsed_ms,moves_seat0,moves_seat1,time_seat0_ms,time_seat1_ms
agents\grimmsnarl\grimmsnarl_ml_v3__vs__agents\grimmsnarl\grimmsnarl_ml_v2,1,agents\grimmsnarl\grimmsnarl_ml_v3,agents\grimmsnarl\grimmsnarl_ml_v2,agents\grimmsnarl\grimmsnarl_ml_v2,win,,,,2917.3095999867655,94,93,1348.773400124628,1517.3095999634825
agents\grimmsnarl\grimmsnarl_ml_v3__vs__agents\grimmsnarl\grimmsnarl_ml_v2,2,agents\grimmsnarl\grimmsnarl_ml_v2,agents\grimmsnarl\grimmsnarl_ml_v3,agents\grimmsnarl\grimmsnarl_ml_v3,win,,,,2618.453299975954,66,104,791.9392997282557,1775.87300009327
agents\grimmsnarl\grimmsnarl_ml_v3__vs__agents\grimmsnarl\grimmsnarl_ml_v2,3,agents\grimmsnarl\grimmsnarl_ml_v3,agents\grimmsnarl\grimmsnarl_ml_v2,agents\grimmsnarl\grimmsnarl_ml_v3,win,,,,3265.1599000091664,113,82,2092.979699955322,1117.4253001227044
agents\grimmsnarl\grimmsnarl_ml_v3__vs__agents\grimmsnarl\grimmsnarl_ml_v2,4,agents\grimmsnarl\grimmsnarl_ml_v2,agents\grimmsnarl\grimmsnarl_ml_v3,agents\grimmsnarl\grimmsnarl_ml_v3,win,,,,3821.021100040525,91,120,1354.3444002280012,2399.83019977808
agents\grimmsnarl\grimmsnarl_ml_v3__vs__agents\grimmsnarl\grimmsnarl_ml_v2,5,agents\grimmsnarl\grimmsnarl_ml_v3,agents\grimmsnarl\grimmsnarl_ml_v2,agents\grimmsnarl\grimmsnarl_ml_v3,win,,,,2390.2851000311784,88,71,1446.8074998585507,896.9716000719927
agents\grimmsnarl\grimmsnarl_ml_v3__vs__agents\grimmsnarl\grimmsnarl_ml_v2,6,agents\grimmsnarl\grimmsnarl_ml_v2,agents\grimmsnarl\grimmsnarl_ml_v3,agents\grimmsnarl\grimmsnarl_ml_v2,win,,,,3794.7359000099823,117,86,1995.3289999975823,1732.337599794846
agents\grimmsnarl\grimmsnarl_ml_v3__vs__agents\grimmsnarl\grimmsnarl_ml_v2,7,agents\grimmsnarl\grimmsnarl_ml_v3,agents\grimmsnarl\grimmsnarl_ml_v2,agents\grimmsnarl\grimmsnarl_ml_v2,win,,,,2704.1040000040084,93,79,1659.358900040388,993.2025002781302
agents\grimmsnarl\grimmsnarl_ml_v3__vs__agents\grimmsnarl\grimmsnarl_ml_v2,8,agents\grimmsnarl\grimmsnarl_ml_v2,agents\grimmsnarl\grimmsnarl_ml_v3,agents\grimmsnarl\grimmsnarl_ml_v2,win,,,,3951.3785999733955,124,110,2101.969499955885,1778.8499000598677
agents\grimmsnarl\grimmsnarl_ml_v3__vs__agents\grimmsnarl\grimmsnarl_ml_v2,9,agents\grimmsnarl\grimmsnarl_ml_v3,agents\grimmsnarl\grimmsnarl_ml_v2,agents\grimmsnarl\grimmsnarl_ml_v3,win,,,,3294.970099988859,92,91,1717.8425000747666,1522.0531001104973
agents\grimmsnarl\grimmsnarl_ml_v3__vs__agents\grimmsnarl\grimmsnarl_ml_v2,10,agents\grimmsnarl\grimmsnarl_ml_v2,agents\grimmsnarl\grimmsnarl_ml_v3,agents\grimmsnarl\grimmsnarl_ml_v3,win,,,,2771.6773000429384,81,94,1101.2665001908317,1619.1298002377152
