rank,team_id,team_name,leaderboard_score,deck_hash
1,16380946,flg,1254.5,202ee2cec6cbe8b4
2,16375635,palsystem,1220.7,4867fd964a4c9662
3,16372168,goonew,1203.8,82879abd3807469b
4,16581741,Dipam Chakraborty,1196.3,f39b7a1dd837f526
5,16463316,LiamK,1191.0,611321e2060e5fee
6,16411029,ANDPAD kaggler team,1190.1,f39b7a1dd837f526
7,16561259,@kdcyberdude,1181.4,05f854e1b3b3ba0f
8,16425135,Rmy,1161.6,f39b7a1dd837f526
9,16536318,ntumlnoob,1161.4,42972e2eccd5e0aa
10,16452116,Sixth Sense,1158.5,63e16702d79a67b5
11,16375320,KantoRegionMaster,1154.5,202ee2cec6cbe8b4
12,16531497,"Bart, Edwyn",1151.3,48dd99dd2b5aba68
13,16422241,Raihan Ramadistra,1150.5,202ee2cec6cbe8b4
14,16371653,213tubo,1148.8,202ee2cec6cbe8b4
15,16450476,Thai,1136.7,f1f6f7e399da38d2
16,16371427,bono,1119.6,d9f935d23302a6f4
17,16385817,M Sato,1113.5,9b415cc6bbdf6fd5
18,16531787,hatry,1104.4,202ee2cec6cbe8b4
19,16388654,vvs,1101.6,22e7836339c38c73
20,16408505,JZ,1097.3,21c3f20980827cb2
21,16448747,Luca,1096.3,9b415cc6bbdf6fd5
22,16381823,AlphaTCG,1095.3,9714ab5c3996f6cc
23,16376653,szlachetny snieg,1093.0,a7ee29914c1dce64
24,16569286,Kh0a,1090.3,202ee2cec6cbe8b4
25,16421599,netsuijou,1089.8,6e5a0a56c7ef2514
26,16531269,Dries @ Tufa Labs,1086.4,f39b7a1dd837f526
27,16381904,NguyenThanhNhan,1086.0,9714ab5c3996f6cc
28,16556346,sadwat,1082.7,75dd701aecdd4872
29,16381127,Boss's Orders Are All You Need,1082.4,a7ee29914c1dce64
30,16391939,PP kawada,1074.5,abdb89aa6dabc48c
31,16594494,Yopta,1072.5,a7ee29914c1dce64
32,16462035,Azat Akhtyamov,1070.6,202ee2cec6cbe8b4
33,16387915,tw_shin,1070.3,78a27b6e506d4015
34,16404352,Oshbocker,1069.6,9ad3143fbfcfc93e
35,16441104,HCRL,1068.6,a7ee29914c1dce64
36,16450177,ONE PIECE,1067.6,f39b7a1dd837f526
37,16393745,ShumpeiNomura,1064.8,e57bfe5c6a8df32a
38,16474254,fishcat,1063.8,202ee2cec6cbe8b4
39,16375647,James Cox & Henry Chao,1063.3,f28177e6f00410a7
40,16445258,MTamago,1060.4,202ee2cec6cbe8b4
