attack_id,attack_name,observed_damage,count
154,Mimikyu attack,200,9
559,Tarountula attack,30,2
560,Spidops attack,180,165
560,Spidops attack,150,40
560,Spidops attack,360,26
560,Spidops attack,120,23
560,Spidops attack,210,9
560,Spidops attack,90,9
560,Spidops attack,420,5
560,Spidops attack,30,3
560,Spidops attack,60,2
560,Spidops attack,300,1
608,Mewtwo ex attack,160,70
608,Mewtwo ex attack,280,8
608,Mewtwo ex attack,130,5
608,Mewtwo ex attack,220,5
608,Mewtwo ex attack,440,4
608,Mewtwo ex attack,320,3
608,Mewtwo ex attack,250,3
