matchup,game,seat0,seat1,winner,result,error_agent,error_type,illegal_agent,elapsed_ms,moves_seat0,moves_seat1,time_seat0_ms,time_seat1_ms
alakazam741_v8__vs__alakazam741_v2,1,alakazam741_v8,alakazam741_v2,alakazam741_v2,win,,,,99.01629999512807,78,75,27.35850028693676,23.206999932881445
alakazam741_v8__vs__alakazam741_v2,2,alakazam741_v2,alakazam741_v8,alakazam741_v8,win,,,,115.03669997910038,94,71,32.303699816111475,28.884800209198147
alakazam741_v8__vs__alakazam741_v2,3,alakazam741_v8,alakazam741_v2,alakazam741_v8,win,,,,84.55819997470826,61,70,24.239000107627362,18.7778000254184
alakazam741_v8__vs__alakazam741_v2,4,alakazam741_v2,alakazam741_v8,alakazam741_v2,win,,,,102.99570002825931,95,69,26.12489979946986,27.360000065527856
alakazam741_v8__vs__alakazam741_v2,5,alakazam741_v8,alakazam741_v2,alakazam741_v2,win,,,,88.13470002496615,48,89,17.686499923001975,28.62979972269386
alakazam741_v8__vs__alakazam741_v2,6,alakazam741_v2,alakazam741_v8,alakazam741_v2,win,,,,104.91320001892745,93,69,28.35560019593686,25.223299919161946
alakazam741_v8__vs__alakazam741_v2,7,alakazam741_v8,alakazam741_v2,alakazam741_v2,win,,,,83.90540000982583,69,85,22.572599933482707,19.808600016403943
alakazam741_v8__vs__alakazam741_v2,8,alakazam741_v2,alakazam741_v8,alakazam741_v8,win,,,,86.77400002488866,64,68,12.92310020653531,33.92270015319809
alakazam741_v8__vs__alakazam741_v2,9,alakazam741_v8,alakazam741_v2,alakazam741_v2,win,,,,20.190500013995916,13,32,2.344900101888925,6.1017999541945755
alakazam741_v8__vs__alakazam741_v2,10,alakazam741_v2,alakazam741_v8,alakazam741_v2,win,,,,90.59390000766143,68,73,17.1415003715083,27.755799994338304
alakazam741_v8__vs__alakazam741_v2,11,alakazam741_v8,alakazam741_v2,alakazam741_v8,win,,,,129.21600003028288,95,86,40.68389977328479,29.17360042920336
alakazam741_v8__vs__alakazam741_v2,12,alakazam741_v2,alakazam741_v8,alakazam741_v2,win,,,,98.58729998813942,90,72,23.93349976046011,25.546599994413555
alakazam741_v8__vs__alakazam741_v2,13,alakazam741_v8,alakazam741_v2,alakazam741_v2,win,,,,87.26499998010695,63,91,18.805500294547528,22.911100182682276
alakazam741_v8__vs__alakazam741_v2,14,alakazam741_v2,alakazam741_v8,alakazam741_v2,win,,,,67.01429997337982,68,49,20.183300133794546,11.380699870642275
alakazam741_v8__vs__alakazam741_v2,15,alakazam741_v8,alakazam741_v2,alakazam741_v8,win,,,,85.88959998451173,54,86,17.979900003410876,26.319699594751
alakazam741_v8__vs__alakazam741_v2,16,alakazam741_v2,alakazam741_v8,alakazam741_v2,win,,,,87.13679999345914,80,64,26.128700119443238,18.844599777366966
alakazam741_v8__vs__alakazam741_v2,17,alakazam741_v8,alakazam741_v2,alakazam741_v8,win,,,,89.92150000995025,47,97,13.062999933026731,32.516200037207454
alakazam741_v8__vs__alakazam741_v2,18,alakazam741_v2,alakazam741_v8,alakazam741_v8,win,,,,115.06470001768321,97,71,36.73150000395253,24.790799885522574
alakazam741_v8__vs__alakazam741_v2,19,alakazam741_v8,alakazam741_v2,alakazam741_v8,win,,,,107.53709997516125,82,89,30.033499642740935,26.729699806310236
alakazam741_v8__vs__alakazam741_v2,20,alakazam741_v2,alakazam741_v8,alakazam741_v8,win,,,,75.29370003612712,70,47,18.639600020833313,20.610699895769358
alakazam741_v8__vs__alakazam741_v2,21,alakazam741_v8,alakazam741_v2,alakazam741_v8,win,,,,41.53079999377951,34,46,9.196899831295013,10.043499933090061
alakazam741_v8__vs__alakazam741_v2,22,alakazam741_v2,alakazam741_v8,alakazam741_v2,win,,,,80.7739999727346,79,60,22.353599953930825,17.65530026750639
alakazam741_v8__vs__alakazam741_v2,23,alakazam741_v8,alakazam741_v2,alakazam741_v8,win,,,,101.28260002238676,68,87,30.42469994397834,22.559000237379223
alakazam741_v8__vs__alakazam741_v2,24,alakazam741_v2,alakazam741_v8,alakazam741_v8,win,,,,60.525800043251365,63,39,14.02150047942996,14.667400100734085
alakazam741_v8__vs__alakazam741_v2,25,alakazam741_v8,alakazam741_v2,alakazam741_v8,win,,,,102.18850005185232,59,95,23.25550012756139,30.814100173301995
alakazam741_v8__vs__alakazam741_v2,26,alakazam741_v2,alakazam741_v8,alakazam741_v2,win,,,,92.30530000058934,82,66,25.04860033513978,20.276399853173643
alakazam741_v8__vs__alakazam741_v2,27,alakazam741_v8,alakazam741_v2,alakazam741_v2,win,,,,104.28729996783659,76,82,23.71879987185821,29.6268003876321
alakazam741_v8__vs__alakazam741_v2,28,alakazam741_v2,alakazam741_v8,alakazam741_v2,win,,,,74.8040999751538,57,67,15.94960002694279,23.07520020985976
alakazam741_v8__vs__alakazam741_v2,29,alakazam741_v8,alakazam741_v2,alakazam741_v8,win,,,,108.10070001753047,67,99,25.32900031656027,28.311900154221803
alakazam741_v8__vs__alakazam741_v2,30,alakazam741_v2,alakazam741_v8,alakazam741_v2,win,,,,82.1204999811016,81,47,24.408600118476897,14.41220031119883
alakazam741_v8__vs__alakazam741_v2,31,alakazam741_v8,alakazam741_v2,alakazam741_v2,win,,,,26.869699999224395,10,43,1.7621000297367573,9.85300011234358
alakazam741_v8__vs__alakazam741_v2,32,alakazam741_v2,alakazam741_v8,alakazam741_v2,win,,,,56.075099972076714,64,35,17.747700156178325,9.59149986738339
alakazam741_v8__vs__alakazam741_v2,33,alakazam741_v8,alakazam741_v2,alakazam741_v2,win,,,,29.677200014702976,18,49,3.7912001134827733,9.207199967931956
alakazam741_v8__vs__alakazam741_v2,34,alakazam741_v2,alakazam741_v8,alakazam741_v8,win,,,,70.3743000049144,74,46,17.733100045006722,17.82939990516752
alakazam741_v8__vs__alakazam741_v2,35,alakazam741_v8,alakazam741_v2,alakazam741_v8,win,,,,107.32850001659244,65,89,32.32839982956648,25.061200081836432
alakazam741_v8__vs__alakazam741_v2,36,alakazam741_v2,alakazam741_v8,alakazam741_v8,win,,,,106.64739995263517,80,72,21.100400132127106,37.305199715774506
alakazam741_v8__vs__alakazam741_v2,37,alakazam741_v8,alakazam741_v2,alakazam741_v2,win,,,,103.99199998937547,84,82,25.199199619237334,24.834200157783926
alakazam741_v8__vs__alakazam741_v2,38,alakazam741_v2,alakazam741_v8,alakazam741_v2,win,,,,121.95140001131222,109,83,32.680700125638396,29.36590014724061
alakazam741_v8__vs__alakazam741_v2,39,alakazam741_v8,alakazam741_v2,alakazam741_v8,win,,,,61.81210000067949,36,70,17.88650016533211,15.187399520073086
alakazam741_v8__vs__alakazam741_v2,40,alakazam741_v2,alakazam741_v8,alakazam741_v8,win,,,,7.641300035174936,9,8,1.100099878385663,1.7944000428542495
alakazam741_v8__vs__alakazam741_v2,41,alakazam741_v8,alakazam741_v2,alakazam741_v2,win,,,,122.29159998241812,85,105,32.59989951038733,31.896199914626777
alakazam741_v8__vs__alakazam741_v2,42,alakazam741_v2,alakazam741_v8,alakazam741_v2,win,,,,76.57040003687143,75,44,27.798799914307892,12.58149987552315
alakazam741_v8__vs__alakazam741_v2,43,alakazam741_v8,alakazam741_v2,alakazam741_v8,win,,,,116.51880003046244,70,90,36.863400135189295,26.34829969611019
alakazam741_v8__vs__alakazam741_v2,44,alakazam741_v2,alakazam741_v8,alakazam741_v2,win,,,,103.29339996678755,82,75,25.49730008468032,28.50069949636236
alakazam741_v8__vs__alakazam741_v2,45,alakazam741_v8,alakazam741_v2,alakazam741_v8,win,,,,116.0473000491038,82,93,35.77839961508289,25.54710052208975
