rank,team_id,team_name,leaderboard_submission_id,leaderboard_score,medal
1,16374395,Majkel1337,55186239,1300.3,GOLD
2,16463316,LiamK,55248965,1177.1,GOLD
3,16422241,Raihan Ramadistra,55177269,1151.0,GOLD
4,16536318,李秉叡（ntumlnoob）,55184021,1148.2,GOLD
5,16385817,M Sato,55198468,1147.4,GOLD
6,16372380,THIRD PTCG Club,55242764,1129.5,GOLD
7,16381823,AlphaStarmie,54773249,1127.5,GOLD
8,16375647,James Cox & Henry Chao,55188658,1123.6,GOLD
9,16425135,Rmy,55251826,1119.6,GOLD
10,16381624,LumenLiquidity,55229706,1116.3,GOLD
11,16561259,@kdcyberdude,55187358,1116.3,GOLD
12,16452116,Sixth Sense,55138264,1113.7,GOLD
13,16393745,ShumpeiNomura,55214482,1108.7,GOLD
14,16404352,Oshbocker,55084456,1088.7,GOLD
15,16499803,Team Rot-Weiß,55231831,1085.7,GOLD
16,16461850,MissingNo.,55221290,1082.6,GOLD
17,16380946,flg,55033309,1081.5,GOLD
18,16464757,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,55241354,1080.9,GOLD
19,16411029,ANDPAD kaggler team,55251764,1078.6,GOLD
20,16388654,vvs,55251919,1074.7,GOLD
21,16442659,cununn,55230940,1073.2,GOLD
22,16541765,less,55249896,1072.3,GOLD
23,16420537,tonakaiiii,55185728,1071.7,SILVER
24,16387915,tw_shin,55199855,1066.4,SILVER
25,16372307,Team KASA.,55098365,1065.5,SILVER
26,16374632,cyrus,55245607,1065.0,SILVER
27,16582540,Ayanokoji Fan Club,55247656,1058.7,SILVER
28,16602856,GuerillaMoon,55252808,1058.6,SILVER
29,16454068,Where is my orbit,54959248,1058.3,SILVER
30,16416261,Petit Canard,55251179,1056.9,SILVER
31,16408505,JZ,55094113,1055.3,SILVER
32,16373946,KawattaTaido,55245964,1053.3,SILVER
33,16600240,DavidFreelan,55229375,1053.2,SILVER
34,16371280,Iolzpo + emonga,55121805,1053.0,SILVER
35,16422150,junlee789,55229754,1052.6,SILVER
36,16405152,Ketchum Alt,55253878,1052.5,SILVER
37,16489606,junseo lee,55205180,1052.2,SILVER
38,16371653,213tubo,55234094,1051.6,SILVER
39,16514878,Hancang Mi,55254078,1050.3,SILVER
40,16376653,szlachetny snieg,55254018,1049.8,SILVER
41,16375635,palsystem,55107167,1049.7,SILVER
42,16431331,insuperabilehart,55243043,1049.3,SILVER
43,16426595,Xiangyu Liu,55238859,1048.9,SILVER
44,16371427,bono,55184624,1047.2,SILVER
45,16372064,Vermillion City Pikachu,55252638,1044.7,SILVER
46,16549721,Mearyl,55231083,1044.5,SILVER
47,16397982,NorthStar,55130199,1043.2,SILVER
48,16376582,Arthurs Torres24,55227232,1042.8,SILVER
49,16381725,llkarill,55217790,1041.1,SILVER
50,16371723,RtoABC,55239385,1040.0,SILVER
