rank,team_id,team_name,leaderboard_submission_id,leaderboard_score,medal
1,16385372,kashiwashira,54603674,1255.2,GOLD
2,16374395,Majkel1337,54618168,1214.9,GOLD
3,16381823,Yushin Ito,54486275,1184.9,GOLD
4,16371427,bono,54589656,1167.0,GOLD
5,16371434,Budew,54554421,1162.1,GOLD
6,16386246,懒惰的金枪鱼,54635272,1152.5,GOLD
7,16463316,LiamK,54634530,1151.0,GOLD
8,16376499,MPGaming,54617602,1146.9,GOLD
9,16425135,Rmy,54607417,1146.4,GOLD
10,16441839,taksai,54624903,1130.3,GOLD
11,16397524,jiatu.l,54611538,1116.8,GOLD
12,16393241,WinDecks,54378321,1111.3,GOLD
13,16379289,wkonishi,54631742,1106.6,GOLD
14,16386088,Legend Brothers,54534612,1104.6,GOLD
15,16372380,THIRD PTCG Club,54637616,1104.3,GOLD
16,16385250,matsurih,54620913,1103.7,GOLD
17,16473179,ei ei ei yikuso,54634055,1098.0,GOLD
18,16381624,LumenLiquidity,54640104,1091.4,GOLD
19,16411724,me and the lads,54625004,1079.5,GOLD
20,16420537,tonakaiiii,54612214,1078.3,SILVER
21,16371829,e-toppo + kurupical,54577484,1078.0,SILVER
22,16372186,ごんさくよねきち,54593212,1077.8,SILVER
23,16489356,Bulba-Zero,54618629,1077.0,SILVER
24,16411029,rick & shikitora,54599692,1074.9,SILVER
25,16371280,lolzpo smw,54622044,1071.6,SILVER
26,16391443,capbloo,54623440,1069.2,SILVER
27,16380690,Ruko,54492332,1065.8,SILVER
28,16371722,nasuo445,54590877,1064.9,SILVER
29,16470414,Larry,54615120,1064.8,SILVER
30,16379512,soyukke,54630374,1064.3,SILVER
31,16376773,hikarimaru,54606486,1064.1,SILVER
32,16406979,Ebi,54627401,1063.6,SILVER
33,16421599,Marshall Maximizer,54635802,1061.3,SILVER
34,16463848,MAMOOS,54639964,1061.3,SILVER
35,16419163,Xander,54618621,1059.7,SILVER
36,16487924,lmaffei,54617289,1057.5,SILVER
37,16378429,5.5,54599584,1057.2,SILVER
38,16383238,Dũng Đỗ,54448990,1055.9,SILVER
39,16375779,Topdecking is All You Need,54599396,1055.5,SILVER
40,16513666,Olegolas1,54587344,1051.2,SILVER
41,16461850,Eduardo Rocha de Andrade,54539956,1049.1,SILVER
42,16372692,ojicat,54626158,1048.9,SILVER
43,16380936,payanotty,54594343,1045.3,SILVER
44,16385144,POPCORN,54597377,1044.4,SILVER
45,16498610,Rockway Chen,54630715,1044.0,SILVER
46,16386193,ebisu_ya,54630824,1042.4,SILVER
47,16380895,Sota Uchiyama,54491389,1041.8,SILVER
48,16371653,213tubo,54469529,1041.2,SILVER
49,16372029,Jack,54630772,1039.7,SILVER
50,16382234,hpp sak,54526984,1038.3,SILVER
51,16405194,Kaileh57,54628169,1037.7,SILVER
52,16372828,iwashi,54632322,1037.6,SILVER
53,16371466,btk15049,54581590,1037.4,SILVER
54,16371723,RtoABC,54594921,1031.8,SILVER
55,16384514,Biubiu,54588000,1030.3,SILVER
56,16372145,ゆとり,54594735,1027.3,SILVER
57,16412000,shosemaru,54631647,1027.3,SILVER
58,16371703,やる気元気ミワハルキ,54625379,1026.9,SILVER
59,16465163,Fakble 6,54631542,1024.7,SILVER
60,16404352,Oshbocker,54625384,1023.9,SILVER
61,16395176,Zhenyu Zhang,54523823,1023.8,SILVER
62,16373169,Hiro Nomo,54629021,1019.4,SILVER
63,16378002,Battle Data Base,54586849,1019.4,SILVER
64,16372422,ei1333,54467112,1018.9,SILVER
65,16454068,Where is my orbit,54505396,1016.4,SILVER
66,16376903,ImANoob1122,54336897,1016.2,SILVER
67,16389479,Bata09,54294456,1016.0,SILVER
68,16407282,SQUIRTLE (prime),54623109,1014.8,SILVER
69,16391123,Iliamna,54607741,1014.0,SILVER
70,16379464,OSELCOUN,54604843,1014.0,SILVER
71,16387464,kkkk,54608732,1013.0,SILVER
72,16393709,AyFukushima,54637192,1013.0,SILVER
73,16417358,NoOne,54638156,1012.7,SILVER
74,16385029,Help-Computa,54582542,1012.0,SILVER
75,16515712,tomo11111,54564058,1011.7,SILVER
76,16374885,Bocchieri Alberto,54533961,1011.4,SILVER
77,16373681,Shota Hirao,54557760,1009.4,SILVER
78,16375647,zoroark190,54498062,1008.9,SILVER
79,16445366,渡邊征央,54555016,1007.8,SILVER
80,16373344,mimi,54532126,1007.1,SILVER
81,16371783,Takaaki Matsuda,54607903,1006.7,SILVER
82,16516751,Chong Pfeffer,54641361,1006.2,SILVER
83,16392727,Gotem Penguin,54049272,1003.6,SILVER
84,16485604,Marcha Watanabe,54614611,1003.2,SILVER
85,16374973,Julian,54623740,1002.2,SILVER
86,16418623,Yudai Ueno,54595535,1001.7,SILVER
87,16471628,mitomeat823,54411920,1001.3,SILVER
88,16375635,ktr,54526972,999.1,SILVER
89,16512241,giacomovin,54587242,998.7,SILVER
90,16401597,Benarg,54606592,996.5,SILVER
91,16395413,cocosu3434,54605279,996.0,SILVER
92,16382518,Team,54606491,995.9,SILVER
93,16506501,x1angM,54610496,995.8,SILVER
94,16374432,shg195,54587711,995.6,SILVER
95,16440498,XIAODOUZI,54434736,994.8,SILVER
96,16422241,Raihan Ramadistra,54561452,994.5,SILVER
97,16418377,MR.h,54604969,992.6,SILVER
98,16391736,Akira-Ninth,53966765,992.4,SILVER
99,16372846,すーぱーひとで,54633565,992.2,SILVER
100,16440334,Max Manushin,54585489,992.1,SILVER
