matchup_group,games,wins,win_rate,avg_first_attack,avg_attacks,board_out,deck_out,prizes
Alakazam mirror,247,164,0.6639676113360324,2.3004115226337447,5.384615384615385,7,14,62
Crustle/Dwebble,93,80,0.8602150537634409,2.1868131868131866,5.440860215053763,2,8,3
Mega Kangaskhan ex,87,23,0.26436781609195403,2.3488372093023258,5.793103448275862,1,48,15
Other,78,64,0.8205128205128205,2.44,6.230769230769231,2,8,4
Marnie's Grimmsnarl ex,73,35,0.4794520547945205,2.492957746478873,3.547945205479452,5,1,32
Mega Starmie/Froslass,53,37,0.6981132075471698,2.450980392156863,3.358490566037736,2,1,13
Team Rocket Spidops/Mewtwo,43,17,0.3953488372093023,2.627906976744186,13.837209302325581,1,6,19
Cynthia's Garchomp ex,36,22,0.6111111111111112,2.0277777777777777,5.916666666666667,0,4,10
Dragapult/Budew,35,24,0.6857142857142857,2.4857142857142858,4.142857142857143,0,0,11
Archaludon/Cinderace,27,20,0.7407407407407407,2.576923076923077,4.555555555555555,1,1,5
Mega Lucario ex,21,18,0.8571428571428571,2.45,3.9047619047619047,1,1,1
