rank,team,own_turn,samples,attack_rate,avg_end_hand,avg_end_deck,avg_end_board,avg_end_alakazam,avg_end_dunsparce,avg_end_dudunsparce
2,Majkel1337,1,99,0.1111111111111111,6.0606060606060606,42.09090909090909,3.797979797979798,0.0,0.898989898989899,0.0
2,Majkel1337,2,98,0.673469387755102,9.908163265306122,31.724489795918366,4.86734693877551,0.47959183673469385,1.010204081632653,0.01020408163265306
2,Majkel1337,3,97,0.8762886597938144,12.288659793814434,24.329896907216494,5.175257731958763,1.2061855670103092,1.309278350515464,0.010309278350515464
2,Majkel1337,4,94,0.9468085106382979,13.297872340425531,18.95744680851064,5.25531914893617,1.4042553191489362,1.2659574468085106,0.0
2,Majkel1337,5,92,0.9130434782608695,12.869565217391305,15.326086956521738,5.141304347826087,1.4456521739130435,1.315217391304348,0.0
2,Majkel1337,6,82,0.8902439024390244,12.841463414634147,12.792682926829269,4.841463414634147,1.4390243902439024,1.1341463414634145,0.0
3,Yushin Ito,1,100,0.24,6.03,41.68,3.94,0.0,1.0,0.0
3,Yushin Ito,2,99,0.6363636363636364,9.666666666666666,30.949494949494948,5.08080808080808,0.5050505050505051,1.1414141414141414,0.13131313131313133
3,Yushin Ito,3,98,0.9489795918367347,12.571428571428571,22.43877551020408,5.204081632653061,1.5816326530612246,1.0510204081632653,0.22448979591836735
3,Yushin Ito,4,94,0.9361702127659575,13.382978723404255,17.20212765957447,5.1063829787234045,1.7765957446808511,1.0106382978723405,0.32978723404255317
3,Yushin Ito,5,88,0.9659090909090909,11.602272727272727,13.670454545454545,5.159090909090909,1.8068181818181819,1.0340909090909092,0.3181818181818182
3,Yushin Ito,6,83,0.891566265060241,11.63855421686747,9.843373493975903,5.072289156626506,1.819277108433735,1.072289156626506,0.30120481927710846
4,bono,1,99,0.050505050505050504,5.818181818181818,42.43434343434343,3.757575757575758,0.0,1.02020202020202,0.0
4,bono,2,99,0.494949494949495,8.494949494949495,33.101010101010104,4.636363636363637,0.45454545454545453,0.8181818181818182,0.2727272727272727
4,bono,3,96,0.75,11.5625,24.958333333333332,5.052083333333333,1.375,1.0,0.3645833333333333
4,bono,4,94,0.8404255319148937,13.414893617021276,19.382978723404257,4.914893617021277,1.4787234042553192,0.9680851063829787,0.3617021276595745
4,bono,5,90,0.8222222222222222,13.255555555555556,15.988888888888889,4.777777777777778,1.4111111111111112,0.9888888888888889,0.37777777777777777
4,bono,6,78,0.8974358974358975,12.35897435897436,13.025641025641026,4.564102564102564,1.5769230769230769,0.7307692307692307,0.3974358974358974
7,LiamK,1,99,0.1414141414141414,5.363636363636363,42.63636363636363,3.95959595959596,0.0,1.2222222222222223,0.0
7,LiamK,2,98,0.8061224489795918,8.744897959183673,33.54081632653061,4.76530612244898,0.5918367346938775,1.1020408163265305,0.0
7,LiamK,3,93,0.8817204301075269,11.75268817204301,25.806451612903224,4.698924731182796,1.4408602150537635,0.989247311827957,0.021505376344086023
7,LiamK,4,90,0.9111111111111111,13.0,20.877777777777776,4.788888888888889,1.5666666666666667,1.2666666666666666,0.03333333333333333
7,LiamK,5,85,0.8,11.882352941176471,18.352941176470587,4.694117647058824,1.576470588235294,1.4352941176470588,0.03529411764705882
7,LiamK,6,75,0.8266666666666667,11.826666666666666,14.453333333333333,4.493333333333333,1.6266666666666667,1.36,0.02666666666666667
9,Rmy,1,99,0.12121212121212122,5.96969696969697,41.707070707070706,4.08080808080808,0.0,1.1616161616161615,0.0
9,Rmy,2,98,0.4897959183673469,8.979591836734693,31.755102040816325,5.336734693877551,0.5102040816326531,1.1326530612244898,0.2857142857142857
9,Rmy,3,97,0.845360824742268,12.11340206185567,23.195876288659793,5.329896907216495,1.6391752577319587,1.0309278350515463,0.27835051546391754
9,Rmy,4,95,0.8947368421052632,13.894736842105264,17.31578947368421,5.3052631578947365,1.894736842105263,1.0421052631578946,0.24210526315789474
9,Rmy,5,88,0.875,14.181818181818182,13.852272727272727,5.136363636363637,1.8295454545454546,0.8522727272727273,0.3409090909090909
9,Rmy,6,83,0.927710843373494,13.626506024096386,11.156626506024097,4.975903614457831,1.7469879518072289,0.891566265060241,0.27710843373493976
15,THIRD PTCG Club,1,99,0.09090909090909091,5.474747474747475,42.07070707070707,3.9292929292929295,0.0,0.9191919191919192,0.0
